,mall_id,shop_code_max
174,m_3871,130
175,m_3882,44
176,m_3897,86
177,m_3899,63
178,m_3916,73
179,m_3936,51
180,m_3938,35
181,m_4005,46
182,m_4011,65
183,m_4033,90
184,m_4036,36
185,m_4049,63
186,m_4058,50
187,m_4064,51
188,m_4066,38
189,m_4068,37
190,m_4079,98
191,m_4094,81
192,m_4098,40
193,m_4099,41
194,m_4112,50
195,m_4121,81
196,m_4132,66
197,m_4139,58
198,m_4157,40
199,m_4160,57
200,m_4162,47
201,m_4168,81
202,m_4173,45
203,m_4178,65
204,m_4181,41
205,m_4187,93
206,m_4199,66
207,m_4205,53
208,m_4206,51
209,m_4211,53
210,m_4216,55
211,m_4221,89
212,m_4224,48
213,m_4227,63
214,m_4244,63
215,m_4253,55
216,m_4269,51
217,m_4312,34
218,m_4341,99
219,m_4347,57
220,m_4357,24
221,m_4358,46
222,m_4372,45
223,m_4380,69
224,m_4384,58
225,m_4406,71
226,m_4422,99
227,m_4423,36
228,m_4434,73
229,m_4459,88
230,m_4466,49
231,m_4505,50
232,m_4509,51
233,m_4515,127
234,m_4524,36
235,m_4525,63
236,m_4543,96
237,m_4548,93
238,m_4572,138
239,m_4585,39
240,m_4599,58
241,m_4634,50
242,m_4637,76
243,m_4664,63
244,m_4680,72
245,m_4695,45
246,m_4711,65
247,m_4759,79
248,m_4801,38
249,m_4818,55
250,m_4834,44
251,m_4853,39
252,m_4889,34
253,m_4923,98
254,m_4983,55
255,m_4998,62
256,m_5014,58
257,m_5019,37
258,m_5024,53
259,m_5076,151
260,m_5081,34
261,m_5085,84
262,m_5154,77
263,m_5182,47
264,m_5192,35
265,m_5200,26
266,m_5214,56
267,m_5258,64
268,m_5291,57
269,m_5296,39
270,m_5311,44
271,m_5319,62
272,m_5323,53
273,m_5325,47
274,m_5326,40
275,m_5331,47
276,m_5337,59
277,m_5343,43
278,m_5349,47
279,m_5352,81
280,m_5363,52
281,m_5364,67
282,m_5369,49
283,m_5374,54
284,m_5382,47
285,m_5413,45
286,m_5424,58
287,m_5435,52
288,m_5443,59
289,m_5446,53
290,m_5450,60
291,m_5452,49
292,m_5471,44
293,m_5473,72
294,m_5481,36
295,m_5487,37
296,m_5503,31
297,m_5516,49
298,m_5519,51
299,m_5527,47
300,m_5529,86
301,m_5542,36
302,m_5570,66
303,m_5583,63
304,m_5586,49
305,m_5600,56
306,m_5609,56
307,m_5641,40
308,m_5654,43
309,m_5661,57
310,m_5677,44
311,m_5751,52
312,m_5752,61
313,m_5767,85
314,m_5772,61
315,m_5778,47
316,m_5783,51
317,m_5785,37
318,m_5810,75
319,m_5812,49
320,m_5813,49
321,m_5825,89
322,m_5833,45
323,m_5845,61
324,m_5847,47
325,m_5892,116
326,m_5946,53
327,m_5958,86
328,m_6065,41
329,m_613,79
330,m_614,54
331,m_6141,25
332,m_615,84
333,m_616,45
334,m_6167,137
335,m_617,60
336,m_618,66
337,m_619,53
338,m_621,71
339,m_622,100
340,m_623,84
341,m_625,98
342,m_626,110
343,m_627,51
344,m_628,61
345,m_629,68
346,m_6337,134
347,m_6390,34
348,m_640,74
349,m_6428,31
350,m_6429,59
351,m_648,67
352,m_6480,77
353,m_651,45
354,m_6511,40
355,m_6516,30
356,m_6526,55
357,m_6527,37
358,m_6538,50
359,m_6580,46
360,m_6587,101
361,m_6590,54
362,m_6596,84
363,m_6630,47
364,m_6638,50
365,m_6703,63
366,m_6714,66
367,m_672,40
368,m_6720,50
369,m_6803,91
370,m_689,45
371,m_690,144
372,m_6923,26
373,m_699,49
374,m_7039,75
375,m_7168,99
376,m_7199,33
377,m_7225,36
378,m_7255,52
379,m_7256,38
380,m_7283,51
381,m_7304,37
382,m_7323,27
383,m_7329,51
384,m_7346,52
385,m_7374,86
386,m_7375,60
387,m_7383,32
388,m_7410,40
389,m_7501,84
390,m_7516,88
391,m_7520,54
392,m_7523,81
393,m_7544,39
394,m_755,39
395,m_760,46
396,m_7601,89
397,m_7616,51
398,m_7671,36
399,m_768,78
400,m_7697,31
401,m_7701,58
402,m_7724,56
403,m_7746,48
404,m_7778,62
405,m_7781,64
406,m_7791,59
407,m_7792,43
408,m_7796,70
409,m_7800,90
410,m_7811,67
411,m_7821,34
412,m_7832,34
413,m_7833,40
414,m_786,51
415,m_7867,38
416,m_7868,29
417,m_7870,66
418,m_7899,61
419,m_7939,44
420,m_7942,56
421,m_7953,54
422,m_7954,43
423,m_796,58
424,m_7973,101
425,m_7976,76
426,m_7994,72
427,m_7997,51
428,m_7998,24
429,m_800,53
430,m_8015,41
431,m_802,69
432,m_8041,53
433,m_8052,50
434,m_8063,51
435,m_8093,82
436,m_8157,49
437,m_8188,36
438,m_8200,90
439,m_8215,47
440,m_822,89
441,m_8222,60
442,m_8251,63
443,m_826,50
444,m_8275,54
445,m_828,40
446,m_8282,41
447,m_8285,48
448,m_8327,47
449,m_8344,120
450,m_8414,52
451,m_8429,41
452,m_8430,70
453,m_8452,38
454,m_8494,40
455,m_8550,46
456,m_8563,45
457,m_867,27
458,m_8671,43
459,m_8688,44
460,m_8835,72
461,m_8853,47
462,m_8893,47
463,m_8907,56
464,m_8908,26
465,m_8910,42
466,m_8960,39
467,m_8974,33
468,m_8980,41
469,m_8991,35
470,m_9007,36
471,m_9047,71
472,m_9051,57
473,m_9054,78
474,m_9068,79
475,m_909,96
476,m_911,87
477,m_912,42
478,m_919,53
479,m_927,40
480,m_954,59
481,m_957,45
482,m_966,25
483,m_968,99
484,m_976,70
485,m_979,75
486,m_988,29
487,m_989,33
